ID,Weather,Recommendation
1,calido,"Usa ropa ligera y de colores claros para mantenerte fresco."
2,calido,"Bebe mucha agua para evitar la deshidratación."
3,calido,"Evita exponerte al sol durante las horas más intensas (12 PM - 4 PM)."
4,soleado,"Usa bloqueador solar con alto SPF para proteger tu piel."
5,soleado,"Lleva gafas de sol para proteger tus ojos de los rayos UV."
6,soleado,"Busca sombra o usa una sombrilla para evitar el calor excesivo."
7,humedo,"Lleva ropa transpirable para evitar la acumulación de sudor."
8,humedo,"Usa repelente de insectos, el clima húmedo atrae mosquitos."
9,humedo,"Mantén tus pertenencias en bolsas anti-humedad para protegerlas."
10,ventoso,"Asegura tus objetos personales, el viento puede llevárselos."
11,ventoso,"Lleva una chaqueta ligera para protegerte del frío causado por el viento."
12,ventoso,"Evita usar sombreros que puedan volarse con facilidad."
13,seco,"Hidrata tu piel con crema humectante para evitar resequedad."
14,seco,"Bebe agua constantemente para mantenerte hidratado."
15,seco,"Evita actividades físicas intensas bajo el sol directo."
16,fresco,"Lleva una chaqueta o suéter para abrigarte."
17,fresco,"Disfruta de bebidas calientes como café o té para mantener el calor."
18,fresco,"Camina o haz senderismo para mantener tu cuerpo activo y caliente."
19,frio,"Usa ropa térmica y en capas para mantener el calor corporal."
20,frio,"Lleva guantes, bufanda y gorro para protegerte del frío extremo."
21,frio,"Evita exponerte al aire libre por largos periodos sin protección."
22,caluroso,"Busca lugares con sombra o aire acondicionado para refrescarte."
23,caluroso,"Lleva un ventilador portátil o un abanico para aliviar el calor."
24,caluroso,"Evita comidas pesadas, opta por frutas y ensaladas refrescantes."
25,templado,"Disfruta de actividades al aire libre sin preocuparte por el clima extremo."
26,templado,"Lleva ropa versátil que puedas ajustar según la temperatura."
27,templado,"Aprovecha para explorar tanto áreas urbanas como naturales."
28,lluvioso,"Lleva un impermeable o paraguas para mantenerte seco."
29,lluvioso,"Usa calzado resistente al agua para evitar resbalones."
30,lluvioso,"Protege tus dispositivos electrónicos con fundas impermeables."
